"","species"
"384","Temminck's Tragopan"
"385","Cabot's Tragopan"
"386","Verreaux's Monal-Partridge"
"387","Szechenyi's Monal-Partridge"
"388","Himalayan Monal"
"389","Sclater's Monal"
"390","Chinese Monal"
"391","Koklass Pheasant"
"392","Wild Turkey"
"393","Ocellated Turkey"
"394","Ruffed Grouse"
"395","Hazel Grouse"
"396","Chinese Grouse"
"397","Sage Grouse"
"398","Gunnison Grouse"
"399","Dusky Grouse"
"400","Sooty Grouse"
"401","Sharp-tailed Grouse"
"402","Greater Prairie Chicken"
"403","Lesser Prairie Chicken"
"404","White-tailed Ptarmigan"
"405","Willow Ptarmigan"
"406","Rock Ptarmigan"
"407","Siberian Grouse"
"408","Spruce Grouse"
"409","Western Capercaillie"
"410","Black-billed Capercaillie"
"411","Black Grouse"
"412","Caucasian Grouse"
"413","Long-billed Partridge"
"414","Dulit Partridge"
"415","Tibetan Partridge"
"416","Grey Partridge"
"417","Daurian Partridge"
"418","Copper Pheasant"
"419","Reeves's Pheasant"
"420","Mikado Pheasant"
"421","Elliot's Pheasant"
"422","Mrs. Hume's Pheasant"
"423","Golden Pheasant"
"424","Lady Amherst's Pheasant"
"425","Common Pheasant"
"426","Green Pheasant"
"427","Cheer Pheasant"
"428","Tibetan Eared Pheasant"
"429","White Eared Pheasant"
"430","Brown Eared Pheasant"
"431","Blue Eared Pheasant"
"432","Edwards's Pheasant"
"433","Swinhoe's Pheasant"
"434","Bulwer's Pheasant"
"435","Kalij Pheasant"
"436","Silver Pheasant"
"437","Crestless Fireback"
"438","Siamese Fireback"
"439","Salvadori's Pheasant"
"440","Crested Fireback"
"441","Vietnamese Crested Argus"
"442","Malayan Crested Argus"
"443","Great Argus"
"444","Congo Peafowl"
"445","Indian Peafowl"
"446","Green Peafowl"
"447","Green-legged Partridge"
"448","Chestnut-necklaced Partridge"
"449","Crimson-headed Partridge"
"450","Red Spurfowl"
"451","Painted Spurfowl"
"452","Sri Lanka Spurfowl"
"453","Palawan Peacock-Pheasant"
"454","Bornean Peacock-Pheasant"
"455","Malayan Peacock-Pheasant"
"456","Germain's Peacock-Pheasant"
"457","Hainan Peacock-Pheasant"
"458","Grey Peacock-Pheasant"
"459","Mountain Peacock-Pheasant"
"460","Bronze-tailed Peacock-Pheasant"
"461","Mountain Bamboo Partridge"
"462","Chinese Bamboo Partridge"
"463","Taiwan Bamboo Partridge"
"464","Green Junglefowl"
"465","Red Junglefowl"
"466","Grey Junglefowl"
"467","Sri Lanka Junglefowl"
"468","Latham's Francolin"
"469","Crested Francolin"
"470","Grey Francolin"
"471","Swamp Francolin"
"472","Chinese Francolin"
"473","Black Francolin"
"474","Painted Francolin"
"475","Coqui Francolin"
"476","White-throated Francolin"
"477","Schlegel's Francolin"
"478","Ring-necked Francolin"
"479","Red-winged Francolin"
"480","Finsch's Francolin"
"481","Moorland Francolin"
"482","Grey-winged Francolin"
"483","Orange River Francolin"
"484","Shelley's Francolin"
"485","Tibetan Snowcock"
"486","Altai Snowcock"
"487","Caucasian Snowcock"
"488","Caspian Snowcock"
"489","Himalayan Snowcock"
"490","See-see Partridge"
"491","Sand Partridge"
"492","Brown Quail"
"493","Snow Mountain Quail"
"494","King Quail"
"495","Blue Quail"
"496","Madagascar Partridge"
"497","Common Quail"
"498","Japanese Quail"
"499","Harlequin Quail"
"500","Rain Quail"
"501","Stubble Quail"
"502","New Zealand Quail"
"503","Barbary Partridge"
"504","Arabian Partridge"
"505","Red-legged Partridge"
"506","Chukar Partridge"
"507","Rock Partridge"
"508","Philby's Partridge"
"509","Przevalski's Partridge"
"510","Jungle Bush Quail"
"511","Rock Bush Quail"
"512","Painted Bush Quail"
"513","Manipur Bush Quail"
"514","Himalayan Quail"
"515","Hartlaub's Spurfowl"
