"","species"
"1995","White-crowned Lapwing"
"1996","Senegal Lapwing"
"1997","Black-winged Lapwing"
"1998","Crowned Lapwing"
"1999","African Wattled Lapwing"
"2000","Spot-breasted Lapwing"
"2001","Brown-chested Lapwing"
"2002","Grey-headed Lapwing"
"2003","Red-wattled Lapwing"
"2004","Javan Lapwing"
"2005","Banded Lapwing"
"2006","Masked Lapwing"
"2007","Sociable Lapwing"
"2008","White-tailed Lapwing"
"2009","Southern Lapwing"
"2010","Andean Lapwing"
"2011","Red-kneed Dotterel"
"2012","Inland Dotterel"
"2013","Wrybill"
"2014","European Golden Plover"
"2015","Pacific Golden Plover"
"2016","American Golden Plover"
"2017","Grey Plover"
"2018","New Zealand Plover"
"2019","Common Ringed Plover"
"2020","Semipalmated Plover"
"2021","Long-billed Plover"
"2022","Little Ringed Plover"
"2023","Wilson's Plover"
"2024","Killdeer"
"2025","Piping Plover"
"2026","Madagascar Plover"
"2027","Kittlitz's Plover"
"2028","St. Helena Plover"
"2029","Three-banded Plover"
"2030","Forbes's Plover"
"2031","White-fronted Plover"
"2032","Kentish Plover"
"2033","White-faced Plover"
"2034","Snowy Plover"
"2035","Javan Plover"
"2036","Red-capped Plover"
"2037","Malaysian Plover"
"2038","Chestnut-banded Plover"
"2039","Collared Plover"
"2040","Puna Plover"
"2041","Two-banded Plover"
"2042","Double-banded Plover"
"2043","Lesser Sand Plover"
"2044","Greater Sand Plover"
"2045","Caspian Plover"
"2046","Oriental Plover"
"2047","Eurasian Dotterel"
"2048","Rufous-chested Plover"
"2049","Mountain Plover"
"2050","Hooded Dotterel"
"2051","Shore Dotterel"
"2052","Black-fronted Dotterel"
"2053","Tawny-throated Dotterel"
"2054","Diademed Sandpiper-Plover"
"2055","Pied Plover"
"2056","Egyptian Plover"
"2057","Greater Painted-snipe"
"2058","Australian Painted-snipe"
"2059","South American Painted-snipe"
"2060","Lesser Jacana"
"2061","African Jacana"
"2062","Madagascar Jacana"
"2063","Comb-crested Jacana"
"2064","Pheasant-tailed Jacana"
"2065","Bronze-winged Jacana"
"2066","Northern Jacana"
"2067","Wattled Jacana"
"2068","Plains-wanderer"
"2069","Rufous-bellied Seedsnipe"
"2070","White-bellied Seedsnipe"
"2071","Grey-breasted Seedsnipe"
"2072","Least Seedsnipe"
"2073","Upland Sandpiper"
"2074","Bristle-thighed Curlew"
"2075","Eurasian Whimbrel"
"2076","Hudsonian Whimbrel"
"2077","Little Curlew"
"2078","Eskimo Curlew"
"2079","Long-billed Curlew"
"2080","Far Eastern Curlew"
"2081","Slender-billed Curlew"
"2082","Eurasian Curlew"
"2083","Bar-tailed Godwit"
"2084","Black-tailed Godwit"
"2085","Hudsonian Godwit"
"2086","Marbled Godwit"
"2087","Ruddy Turnstone"
"2088","Black Turnstone"
"2089","Tuamotu Sandpiper"
"2090","Kiritimati Sandpiper"
"2091","Tahiti Sandpiper"
"2092","Moorea Sandpiper"
"2093","Great Knot"
"2094","Red Knot"
"2095","Surfbird"
"2096","Ruff"
"2097","Broad-billed Sandpiper"
"2098","Sharp-tailed Sandpiper"
"2099","Stilt Sandpiper"
"2100","Curlew Sandpiper"
"2101","Temminck's Stint"
"2102","Long-toed Stint"
"2103","Spoon-billed Sandpiper"
"2104","Red-necked Stint"
"2105","Sanderling"
"2106","Dunlin"
"2107","Rock Sandpiper"
"2108","Purple Sandpiper"
"2109","Baird's Sandpiper"
"2110","Little Stint"
"2111","Least Sandpiper"
"2112","White-rumped Sandpiper"
"2113","Buff-breasted Sandpiper"
"2114","Pectoral Sandpiper"
"2115","Semipalmated Sandpiper"
"2116","Western Sandpiper"
"2117","Asian Dowitcher"
"2118","Long-billed Dowitcher"
"2119","Short-billed Dowitcher"
"2120","Eurasian Woodcock"
"2121","Amami Woodcock"
"2122","Javan Woodcock"
"2123","New Guinea Woodcock"
"2124","Bukidnon Woodcock"
"2125","Sulawesi Woodcock"
"2126","Moluccan Woodcock"
"2127","American Woodcock"
"2128","Chatham Snipe"
"2129","North Island Snipe"
"2130","South Island Snipe"
"2131","Snares Snipe"
"2132","Subantarctic Snipe"
"2133","Jack Snipe"
"2134","Solitary Snipe"
"2135","Latham's Snipe"
"2136","Wood Snipe"
"2137","Pin-tailed Snipe"
"2138","Swinhoe's Snipe"
"2139","African Snipe"
"2140","Madagascar Snipe"
"2141","Great Snipe"
"2142","Common Snipe"
"2143","Wilson's Snipe"
"2144","South American Snipe"
"2145","Magellanic Snipe"
"2146","Puna Snipe"
"2147","Noble Snipe"
"2148","Giant Snipe"
"2149","Fuegian Snipe"
"2150","Jameson's Snipe"
"2151","Imperial Snipe"
"2152","Terek Sandpiper"
"2153","Wilson's Phalarope"
"2154","Red-necked Phalarope"
"2155","Red Phalarope"
"2156","Common Sandpiper"
"2157","Spotted Sandpiper"
"2158","Green Sandpiper"
"2159","Solitary Sandpiper"
"2160","Wandering Tattler"
"2161","Grey-tailed Tattler"
"2162","Lesser Yellowlegs"
"2163","Willet"
"2164","Common Redshank"
"2165","Marsh Sandpiper"
"2166","Wood Sandpiper"
"2167","Spotted Redshank"
"2168","Common Greenshank"
"2169","Nordmann's Greenshank"
"2170","Greater Yellowlegs"
"2171","Crab-plover"
"2172","Cream-colored Courser"
"2173","Somali Courser"
"2174","Burchell's Courser"
"2175","Temminck's Courser"
"2176","Indian Courser"
"2177","Double-banded Courser"
"2178","Three-banded Courser"
"2179","Bronze-winged Courser"
"2180","Jerdon's Courser"
"2181","Australian Pratincole"
"2182","Collared Pratincole"
"2183","Oriental Pratincole"
"2184","Black-winged Pratincole"
"2185","Madagascar Pratincole"
"2186","Rock Pratincole"
"2187","Grey Pratincole"
"2188","Small Pratincole"
"2189","Brown Noddy"
"2190","Lesser Noddy"
"2191","Black Noddy"
"2192","Blue Noddy"
"2193","Grey Noddy"
"2194","White Tern"
"2195","Black Skimmer"
"2196","African Skimmer"
"2197","Indian Skimmer"
"2198","Swallow-tailed Gull"
"2199","Black-legged Kittiwake"
"2200","Red-legged Kittiwake"
"2201","Ivory Gull"
"2202","Sabine's Gull"
"2203","Slender-billed Gull"
"2204","Bonaparte's Gull"
"2205","Silver Gull"
"2206","Black-billed Gull"
"2207","Andean Gull"
"2208","Brown-headed Gull"
"2209","Brown-hooded Gull"
"2210","Black-headed Gull"
"2211","Grey-headed Gull"
"2212","Hartlaub's Gull"
"2213","Saunders's Gull"
"2214","Little Gull"
"2215","Ross's Gull"
"2216","Dolphin Gull"
"2217","Lava Gull"
"2218","Laughing Gull"
"2219","Franklin's Gull"
"2220","Grey Gull"
"2221","Relict Gull"
"2222","Audouin's Gull"
"2223","Mediterranean Gull"
"2224","Pallas's Gull"
"2225","White-eyed Gull"
"2226","Sooty Gull"
"2227","Pacific Gull"
"2228","Belcher's Gull"
"2229","Olrog's Gull"
"2230","Black-tailed Gull"
"2231","Heermann's Gull"
"2232","Common Gull"
"2233","Short-billed Gull"
"2234","Ring-billed Gull"
"2235","California Gull"
"2236","Great Black-backed Gull"
"2237","Kelp Gull"
"2238","Glaucous-winged Gull"
"2239","Western Gull"
"2240","Yellow-footed Gull"
"2241","Glaucous Gull"
"2242","Iceland Gull"
"2243","European Herring Gull"
"2244","American Herring Gull"
"2245","Vega Gull"
"2246","Caspian Gull"
"2247","Yellow-legged Gull"
"2248","Armenian Gull"
"2249","Slaty-backed Gull"
"2250","Lesser Black-backed Gull"
"2251","Gull-billed Tern"
"2252","Australian Tern"
"2253","Caspian Tern"
"2254","Royal Tern"
"2255","Greater Crested Tern"
"2256","Lesser Crested Tern"
"2257","West African Crested Tern"
"2258","Chinese Crested Tern"
"2259","Sandwich Tern"
"2260","Cabot's Tern"
"2261","Elegant Tern"
"2262","Little Tern"
"2263","Saunders's Tern"
"2264","Least Tern"
"2265","Yellow-billed Tern"
"2266","Peruvian Tern"
"2267","Fairy Tern"
"2268","Damara Tern"
"2269","Aleutian Tern"
"2270","Spectacled Tern"
"2271","Bridled Tern"
"2272","Sooty Tern"
"2273","River Tern"
"2274","Roseate Tern"
"2275","White-fronted Tern"
"2276","Black-naped Tern"
"2277","South American Tern"
"2278","Common Tern"
"2279","White-cheeked Tern"
"2280","Arctic Tern"
"2281","Antarctic Tern"
"2282","Kerguelen Tern"
"2283","Forster's Tern"
"2284","Snowy-crowned Tern"
"2285","Black-bellied Tern"
"2286","Black-fronted Tern"
"2287","Whiskered Tern"
"2288","White-winged Tern"
"2289","Black Tern"
"2290","Large-billed Tern"
"2291","Inca Tern"
"2292","Chilean Skua"
"2293","South Polar Skua"
"2294","Brown Skua"
"2295","Great Skua"
"2296","Pomarine Jaeger"
"2297","Parasitic Jaeger"
"2298","Long-tailed Jaeger"
"2299","Little Auk"
"2300","Thick-billed Murre"
"2301","Common Murre"
"2302","Razorbill"
"2303","Great Auk"
"2304","Black Guillemot"
"2305","Pigeon Guillemot"
"2306","Spectacled Guillemot"
"2307","Marbled Murrelet"
"2308","Long-billed Murrelet"
"2309","Kittlitz's Murrelet"
"2310","Guadalupe Murrelet"
"2311","Scripps's Murrelet"
"2312","Craveri's Murrelet"
"2313","Ancient Murrelet"
"2314","Japanese Murrelet"
"2315","Cassin's Auklet"
"2316","Parakeet Auklet"
"2317","Least Auklet"
"2318","Whiskered Auklet"
"2319","Crested Auklet"
"2320","Rhinoceros Auklet"
"2321","Atlantic Puffin"
"2322","Horned Puffin"
"2323","Tufted Puffin"
"2324","Kagu"
"2325","Sunbittern"
"2326","Red-billed Tropicbird"
"2327","Red-tailed Tropicbird"
"2328","White-tailed Tropicbird"
"2329","Red-throated Loon"
"2330","Black-throated Loon"
"2331","Pacific Loon"
"2332","Common Loon"
"2333","Yellow-billed Loon"
"2334","King Penguin"
"2335","Emperor Penguin"
"2336","Adelie Penguin"
"2337","Chinstrap Penguin"
"2338","Gentoo Penguin"
"2339","Little Penguin"
"2340","Galapagos Penguin"
"2341","Humboldt Penguin"
"2342","Magellanic Penguin"
"2343","African Penguin"
"2344","Yellow-eyed Penguin"
"2345","Macaroni Penguin"
"2346","Royal Penguin"
"2347","Northern Rockhopper Penguin"
"2348","Southern Rockhopper Penguin"
"2349","Fiordland Penguin"
"2350","Snares Penguin"
"2351","Erect-crested Penguin"
"2352","Wilson's Storm Petrel"
"2353","Elliot's Storm Petrel"
"2354","Pincoya Storm Petrel"
"2355","Grey-backed Storm Petrel"
"2356","White-faced Storm Petrel"
"2357","White-bellied Storm Petrel"
"2358","Black-bellied Storm Petrel"
"2359","New Zealand Storm Petrel"
"2360","Polynesian Storm Petrel"
"2361","Laysan Albatross"
"2362","Black-footed Albatross"
"2363","Waved Albatross"
"2364","Short-tailed Albatross"
"2365","Wandering Albatross"
"2366","Antipodean Albatross"
"2367","Amsterdam Albatross"
"2368","Tristan Albatross"
"2369","Southern Royal Albatross"
"2370","Northern Royal Albatross"
"2371","Sooty Albatross"
"2372","Light-mantled Albatross"
"2373","Black-browed Albatross"
"2374","Campbell Albatross"
"2375","Shy Albatross"
"2376","Chatham Albatross"
"2377","Salvin's Albatross"
"2378","Grey-headed Albatross"
"2379","Atlantic Yellow-nosed Albatross"
"2380","Indian Yellow-nosed Albatross"
"2381","Buller's Albatross"
"2382","European Storm Petrel"
"2383","Fork-tailed Storm Petrel"
"2384","Hornby's Storm Petrel"
"2385","Swinhoe's Storm Petrel"
"2386","Matsudaira's Storm Petrel"
"2387","Leach's Storm Petrel"
"2388","Townsend's Storm Petrel"
"2389","Ainley's Storm Petrel"
"2390","Ashy Storm Petrel"
"2391","Band-rumped Storm Petrel"
"2392","Monteiro's Storm Petrel"
"2393","Cape Verde Storm Petrel"
"2394","Wedge-rumped Storm Petrel"
"2395","Black Storm Petrel"
"2396","Guadalupe Storm Petrel"
"2397","Markham's Storm Petrel"
"2398","Tristram's Storm Petrel"
"2399","Least Storm Petrel"
"2400","Southern Giant Petrel"
"2401","Northern Giant Petrel"
"2402","Northern Fulmar"
"2403","Southern Fulmar"
"2404","Antarctic Petrel"
"2405","Cape Petrel"
"2406","Snow Petrel"
"2407","Blue Petrel"
"2408","Broad-billed Prion"
"2409","Salvin's Prion"
"2410","Antarctic Prion"
"2411","Slender-billed Prion"
"2412","Fairy Prion"
"2413","Fulmar Prion"
"2414","Kerguelen Petrel"
"2415","Great-winged Petrel"
"2416","White-headed Petrel"
"2417","Grey-faced Petrel"
"2418","Atlantic Petrel"
"2419","Providence Petrel"
"2420","Magenta Petrel"
"2421","Murphy's Petrel"
"2422","Soft-plumaged Petrel"
"2423","Zino's Petrel"
"2424","Fea's Petrel"
"2425","Desertas Petrel"
"2426","Bermuda Petrel"
"2427","Black-capped Petrel"
"2428","Jamaican Petrel"
"2429","Juan Fernandez Petrel"
"2430","Vanuatu Petrel"
"2431","Kermadec Petrel"
"2432","Herald Petrel"
"2433","Trindade Petrel"
"2434","Henderson Petrel"
"2435","Phoenix Petrel"
"2436","Barau's Petrel"
"2437","Hawaiian Petrel"
"2438","Galapagos Petrel"
"2439","Mottled Petrel"
"2440","White-necked Petrel"
"2441","Black-winged Petrel"
"2442","Chatham Petrel"
"2443","Bonin Petrel"
"2444","Gould's Petrel"
"2445","Collared Petrel"
"2446","Cook's Petrel"
"2447","De Filippi's Petrel"
"2448","Stejneger's Petrel"
"2449","Pycroft's Petrel"
"2450","Mascarene Petrel"
"2451","St. Helena Petrel"
"2452","Tahiti Petrel"
"2453","Beck's Petrel"
"2454","Fiji Petrel"
"2455","Grey Petrel"
"2456","White-chinned Petrel"
"2457","Spectacled Petrel"
"2458","Black Petrel"
"2459","Westland Petrel"
"2460","Streaked Shearwater"
"2461","Scopoli's Shearwater"
"2462","Cory's Shearwater"
"2463","Cape Verde Shearwater"
"2464","Wedge-tailed Shearwater"
"2465","Buller's Shearwater"
"2466","Sooty Shearwater"
"2467","Short-tailed Shearwater"
"2468","Pink-footed Shearwater"
"2469","Flesh-footed Shearwater"
"2470","Great Shearwater"
"2471","Christmas Shearwater"
"2472","Manx Shearwater"
"2473","Yelkouan Shearwater"
"2474","Balearic Shearwater"
"2475","Bryan's Shearwater"
"2476","Black-vented Shearwater"
"2477","Townsend's Shearwater"
"2478","Newell's Shearwater"
"2479","Rapa Shearwater"
"2480","Fluttering Shearwater"
"2481","Hutton's Shearwater"
"2482","Audubon's Shearwater"
"2483","Persian Shearwater"
"2484","Tropical Shearwater"
"2485","Galapagos Shearwater"
"2486","Bannerman's Shearwater"
"2487","Heinroth's Shearwater"
"2488","Little Shearwater"
"2489","Subantarctic Shearwater"
"2490","Barolo Shearwater"
"2491","Boyd's Shearwater"
"2492","Peruvian Diving Petrel"
"2493","Magellanic Diving Petrel"
"2494","South Georgia Diving Petrel"
"2495","Common Diving Petrel"
"2496","Bulwer's Petrel"
"2497","Olson's Petrel"
"2498","Jouanin's Petrel"
"2499","Wood Stork"
"2500","Milky Stork"
"2501","Yellow-billed Stork"
"2502","Painted Stork"
"2503","Asian Openbill"
"2504","African Openbill"
"2505","Black Stork"
"2506","Abdim's Stork"
"2507","Woolly-necked Stork"
"2508","Storm's Stork"
"2509","Maguari Stork"
"2510","White Stork"
"2511","Oriental Stork"
"2512","Black-necked Stork"
"2513","Saddle-billed Stork"
"2514","Jabiru"
"2515","Lesser Adjutant"
"2516","Greater Adjutant"
"2517","Marabou Stork"
"2518","Ascension Frigatebird"
"2519","Christmas Frigatebird"
"2520","Magnificent Frigatebird"
"2521","Great Frigatebird"
"2522","Lesser Frigatebird"
"2523","Northern Gannet"
"2524","Cape Gannet"
"2525","Australasian Gannet"
"2526","Abbott's Booby"
"2527","Blue-footed Booby"
"2528","Peruvian Booby"
"2529","Masked Booby"
"2530","Nazca Booby"
"2531","Red-footed Booby"
"2532","Brown Booby"
"2533","Oriental Darter"
"2534","African Darter"
"2535","Australasian Darter"
"2536","Anhinga"
"2537","Pygmy Cormorant"
"2538","Reed Cormorant"
"2539","Crowned Cormorant"
"2540","Little Cormorant"
"2541","Little Pied Cormorant"
"2542","Red-legged Cormorant"
"2543","Brandt's Cormorant"
"2544","Red-faced Cormorant"
"2545","Pelagic Cormorant"
"2546","Spectacled Cormorant"
"2547","Bank Cormorant"
"2548","Socotra Cormorant"
"2549","Pitt Shag"
"2550","Spotted Shag"
"2551","Black-faced Cormorant"
"2552","Australian Pied Cormorant"
"2553","Little Black Cormorant"
"2554","Indian Cormorant"
"2555","Cape Cormorant"
"2556","Japanese Cormorant"
"2557","White-breasted Cormorant"
"2558","Great Cormorant"
"2559","European Shag"
"2560","Flightless Cormorant"
"2561","Neotropic Cormorant"
"2562","Double-crested Cormorant"
"2563","Rock Shag"
"2564","Guanay Cormorant"
"2565","Bounty Shag"
"2566","New Zealand King Shag"
"2567","Chatham Shag"
"2568","Otago Shag"
"2569","Foveaux Shag"
"2570","Auckland Shag"
"2571","Campbell Shag"
"2572","Imperial Shag"
"2573","South Georgia Shag"
"2574","Crozet Shag"
"2575","Antarctic Shag"
"2576","Kerguelen Shag"
"2577","Heard Island Shag"
"2578","Macquarie Shag"
"2579","African Sacred Ibis"
"2580","Malagasy Sacred Ibis"
"2581","Reunion Ibis"
"2582","Black-headed Ibis"
"2583","Australian White Ibis"
"2584","Straw-necked Ibis"
"2585","Red-naped Ibis"
"2586","White-shouldered Ibis"
"2587","Giant Ibis"
"2588","Northern Bald Ibis"
"2589","Southern Bald Ibis"
"2590","Crested Ibis"
"2591","Olive Ibis"
"2592","Sao Tome Ibis"
"2593","Spot-breasted Ibis"
"2594","Hadada Ibis"
"2595","Wattled Ibis"
"2596","Plumbeous Ibis"
"2597","Buff-necked Ibis"
"2598","Black-faced Ibis"
"2599","Andean Ibis"
"2600","Sharp-tailed Ibis"
"2601","Green Ibis"
"2602","Bare-faced Ibis"
"2603","American White Ibis"
"2604","Scarlet Ibis"
"2605","Glossy Ibis"
"2606","White-faced Ibis"
"2607","Puna Ibis"
"2608","Madagascar Ibis"
"2609","Eurasian Spoonbill"
"2610","Black-faced Spoonbill"
"2611","African Spoonbill"
"2612","Royal Spoonbill"
"2613","Yellow-billed Spoonbill"
"2614","Roseate Spoonbill"
"2615","Forest Bittern"
"2616","White-crested Tiger Heron"
"2617","Rufescent Tiger Heron"
"2618","Fasciated Tiger Heron"
"2619","Bare-throated Tiger Heron"
"2620","Agami Heron"
"2621","Boat-billed Heron"
"2622","Zigzag Heron"
"2623","Eurasian Bittern"
"2624","Australasian Bittern"
"2625","American Bittern"
"2626","Pinnated Bittern"
"2627","Stripe-backed Bittern"
"2628","Least Bittern"
"2629","Little Bittern"
"2630","Black-backed Bittern"
"2631","New Zealand Bittern"
"2632","Yellow Bittern"
"2633","Von Schrenck's Bittern"
"2634","Cinnamon Bittern"
"2635","Dwarf Bittern"
"2636","Black Bittern"
"2637","White-eared Night Heron"
"2638","Japanese Night Heron"
"2639","Malayan Night Heron"
"2640","White-backed Night Heron"
"2641","Black-crowned Night Heron"
"2642","Ascension Night Heron"
"2643","Reunion Night Heron"
"2644","Mauritius Night Heron"
"2645","Rodrigues Night Heron"
"2646","Nankeen Night Heron"
"2647","Yellow-crowned Night Heron"
"2648","Bermuda Night Heron"
"2649","Green Heron"
"2650","Lava Heron"
"2651","Striated Heron"
"2652","Squacco Heron"
"2653","Indian Pond Heron"
"2654","Chinese Pond Heron"
"2655","Javan Pond Heron"
"2656","Malagasy Pond Heron"
"2657","Rufous-bellied Heron"
"2658","Western Cattle Egret"
"2659","Eastern Cattle Egret"
"2660","Grey Heron"
"2661","Great Blue Heron"
"2662","Cocoi Heron"
"2663","White-necked Heron"
"2664","Black-headed Heron"
"2665","Humblot's Heron"
"2666","White-bellied Heron"
"2667","Great-billed Heron"
"2668","Goliath Heron"
"2669","Purple Heron"
"2670","Great Egret"
"2671","Intermediate Egret"
"2672","Capped Heron"
"2673","Whistling Heron"
"2674","Pied Heron"
"2675","White-faced Heron"
"2676","Reddish Egret"
"2677","Black Heron"
"2678","Slaty Egret"
"2679","Tricolored Heron"
"2680","Little Blue Heron"
"2681","Snowy Egret"
"2682","Little Egret"
"2683","Western Reef Heron"
"2684","Dimorphic Egret"
"2685","Pacific Reef Heron"
"2686","Chinese Egret"
"2687","Hamerkop"
"2688","Shoebill"
"2689","Great White Pelican"
"2690","Pink-backed Pelican"
"2691","Spot-billed Pelican"
"2692","Dalmatian Pelican"
"2693","Australian Pelican"
"2694","American White Pelican"
"2695","Brown Pelican"
"2696","Peruvian Pelican"
"2697","Hoatzin"
"2698","California Condor"
"2699","King Vulture"
"2700","Andean Condor"
"2701","Black Vulture"
"2702","Turkey Vulture"
"2703","Lesser Yellow-headed Vulture"
"2704","Greater Yellow-headed Vulture"
"2705","Secretarybird"
"2706","Western Osprey"
"2707","Eastern Osprey"
"2708","Black-winged Kite"
"2709","Black-shouldered Kite"
"2710","White-tailed Kite"
"2711","Letter-winged Kite"
"2712","Pearl Kite"
"2713","Scissor-tailed Kite"
"2714","African Harrier-Hawk"
"2715","Madagascar Harrier-Hawk"
"2716","Palm-nut Vulture"
"2717","Bearded Vulture"
"2718","Egyptian Vulture"
"2719","Madagascar Serpent Eagle"
"2720","Grey-headed Kite"
"2721","White-collared Kite"
"2722","Hook-billed Kite"
"2723","Cuban Kite"
"2724","European Honey Buzzard"
"2725","Crested Honey Buzzard"
"2726","Barred Honey Buzzard"
"2727","Philippine Honey Buzzard"
"2728","Swallow-tailed Kite"
"2729","Square-tailed Kite"
"2730","Black-breasted Buzzard"
"2731","African Cuckoo-Hawk"
"2732","Madagascar Cuckoo-Hawk"
"2733","Jerdon's Baza"
"2734","Pacific Baza"
"2735","Black Baza"
"2736","Long-tailed Honey Buzzard"
"2737","Black Honey Buzzard"
"2738","Hooded Vulture"
"2739","White-backed Vulture"
"2740","White-rumped Vulture"
"2741","Indian Vulture"
"2742","Slender-billed Vulture"
"2743","Rüppell's Vulture"
"2744","Himalayan Vulture"
"2745","Griffon Vulture"
"2746","Cape Vulture"
"2747","Red-headed Vulture"
"2748","White-headed Vulture"
"2749","Cinereous Vulture"
"2750","Lappet-faced Vulture"
"2751","Crested Serpent Eagle"
"2752","Great Nicobar Serpent Eagle"
"2753","Mountain Serpent Eagle"
"2754","Sulawesi Serpent Eagle"
"2755","Philippine Serpent Eagle"
"2756","Andaman Serpent Eagle"
"2757","Philippine Eagle"
"2758","Short-toed Snake Eagle"
"2759","Beaudouin's Snake Eagle"
"2760","Black-chested Snake Eagle"
"2761","Brown Snake Eagle"
"2762","Southern Banded Snake Eagle"
"2763","Western Banded Snake Eagle"
"2764","Congo Serpent Eagle"
"2765","Bateleur"
"2766","Bat Hawk"
"2767","Papuan Eagle"
"2768","Crested Eagle"
"2769","Harpy Eagle"
"2770","Changeable Hawk-Eagle"
"2771","Flores Hawk-Eagle"
"2772","Mountain Hawk-Eagle"
"2773","Legge's Hawk-Eagle"
"2774","Blyth's Hawk-Eagle"
"2775","Javan Hawk-Eagle"
"2776","Sulawesi Hawk-Eagle"
"2777","Philippine Hawk-Eagle"
"2778","Pinsker's Hawk-Eagle"
"2779","Wallace's Hawk-Eagle"
"2780","Black Hawk-Eagle"
"2781","Black-and-white Hawk-Eagle"
"2782","Ornate Hawk-Eagle"
"2783","Black-and-chestnut Eagle"
"2784","Crowned Eagle"
"2785","Rufous-bellied Eagle"
"2786","Martial Eagle"
"2787","Long-crested Eagle"
"2788","Black Eagle"
"2789","Lesser Spotted Eagle"
"2790","Indian Spotted Eagle"
"2791","Greater Spotted Eagle"
"2792","Wahlberg's Eagle"
"2793","Booted Eagle"
"2794","Little Eagle"
"2795","Pygmy Eagle"
"2796","Ayres's Hawk-Eagle"
"2797","Tawny Eagle"
"2798","Steppe Eagle"
"2799","Spanish Imperial Eagle"
"2800","Eastern Imperial Eagle"
"2801","Gurney's Eagle"
"2802","Golden Eagle"
"2803","Wedge-tailed Eagle"
"2804","Verreaux's Eagle"
"2805","Cassin's Hawk-Eagle"
"2806","Bonelli's Eagle"
"2807","African Hawk-Eagle"
"2808","Double-toothed Kite"
"2809","Rufous-thighed Kite"
"2810","Lizard Buzzard"
"2811","Gabar Goshawk"
"2812","Dark Chanting Goshawk"
"2813","Eastern Chanting Goshawk"
"2814","Pale Chanting Goshawk"
"2815","Long-tailed Hawk"
"2816","Chestnut-shouldered Goshawk"
"2817","Red Goshawk"
"2818","Doria's Goshawk"
"2819","Tiny Hawk"
"2820","Semicollared Hawk"
"2821","Crested Goshawk"
"2822","Sulawesi Goshawk"
"2823","Grey-bellied Hawk"
"2824","Red-chested Goshawk"
"2825","African Goshawk"
"2826","Chestnut-flanked Sparrowhawk"
"2827","Shikra"
"2828","Nicobar Sparrowhawk"
"2829","Levant Sparrowhawk"
"2830","Chinese Sparrowhawk"
"2831","Frances's Sparrowhawk"
"2832","Spot-tailed Sparrowhawk"
"2833","Grey Goshawk"
"2834","Variable Goshawk"
"2835","Brown Goshawk"
"2836","Black-mantled Goshawk"
"2837","Pied Goshawk"
"2838","White-bellied Goshawk"
"2839","Fiji Goshawk"
"2840","Moluccan Goshawk"
"2841","Slaty-mantled Goshawk"
"2842","Imitator Goshawk"
"2843","Grey-headed Goshawk"
"2844","New Britain Goshawk"
"2845","Red-thighed Sparrowhawk"
"2846","Little Sparrowhawk"
"2847","Japanese Sparrowhawk"
"2848","Besra"
"2849","Dwarf Sparrowhawk"
"2850","Rufous-necked Sparrowhawk"
"2851","Collared Sparrowhawk"
"2852","New Britain Sparrowhawk"
"2853","Vinous-breasted Sparrowhawk"
"2854","Madagascar Sparrowhawk"
"2855","Ovambo Sparrowhawk"
"2856","Eurasian Sparrowhawk"
"2857","Rufous-breasted Sparrowhawk"
"2858","Sharp-shinned Hawk"
"2859","White-breasted Hawk"
"2860","Plain-breasted Hawk"
"2861","Rufous-thighed Hawk"
"2862","Cooper's Hawk"
"2863","Gundlach's Hawk"
"2864","Bicolored Hawk"
"2865","Chilean Hawk"
"2866","Black Sparrowhawk"
"2867","Henst's Goshawk"
"2868","Northern Goshawk"
"2869","Meyer's Goshawk"
"2870","Western Marsh Harrier"
"2871","Eastern Marsh Harrier"
"2872","Papuan Harrier"
"2873","Swamp Harrier"
"2874","African Marsh Harrier"
"2875","Reunion Harrier"
"2876","Malagasy Harrier"
"2877","Long-winged Harrier"
"2878","Spotted Harrier"
"2879","Black Harrier"
"2880","Hen Harrier"
"2881","Northern Harrier"
"2882","Cinereous Harrier"
"2883","Pallid Harrier"
"2884","Pied Harrier"
"2885","Montagu's Harrier"
"2886","Red Kite"
"2887","Black Kite"
"2888","Yellow-billed Kite"
"2889","Whistling Kite"
"2890","Brahminy Kite"
"2891","White-bellied Sea Eagle"
"2892","Sanford's Sea Eagle"
"2893","African Fish Eagle"
"2894","Madagascar Fish Eagle"
"2895","Pallas's Fish Eagle"
"2896","White-tailed Eagle"
"2897","Bald Eagle"
"2898","Steller's Sea Eagle"
"2899","Lesser Fish Eagle"
"2900","Grey-headed Fish Eagle"
"2901","Grasshopper Buzzard"
"2902","White-eyed Buzzard"
"2903","Rufous-winged Buzzard"
"2904","Grey-faced Buzzard"
"2905","Mississippi Kite"
"2906","Plumbeous Kite"
"2907","Black-collared Hawk"
"2908","Snail Kite"
"2909","Slender-billed Kite"
"2910","Crane Hawk"
"2911","Plumbeous Hawk"
"2912","Slate-colored Hawk"
"2913","Common Black Hawk"
"2914","Cuban Black Hawk"
"2915","Rufous Crab Hawk"
"2916","Savanna Hawk"
"2917","White-necked Hawk"
"2918","Great Black Hawk"
"2919","Solitary Eagle"
"2920","Chaco Eagle"
"2921","Barred Hawk"
"2922","Roadside Hawk"
"2923","Harris's Hawk"
"2924","White-rumped Hawk"
"2925","White-tailed Hawk"
"2926","Variable Hawk"
"2927","Black-chested Buzzard-Eagle"
"2928","Mantled Hawk"
"2929","White Hawk"
"2930","Grey-backed Hawk"
